Title,Category,DRC Platform,Runtime,Genres,Director,Watch Link,IMDB,TMDB,Overview,Price (Rent),Price (Buy),TMDB Confidence
Kid Yugi - Genesis and Rise of an Anti-Idol,Feature Films (70+ min),,87,Documentary,Alessio Mariano,,,https://www.themoviedb.org/movie/1629093,"Genesis and Rise of an Anti-Idol traces Kid Yugi's journey from his origins in the provinces to his success on the Italian rap scene, exploring the co",,,
Labyrinth,Feature Films (70+ min),,75,Documentary,Dimitris Athanitis,,https://www.imdb.com/title/tt11575608/,https://www.themoviedb.org/movie/707631,"In the heart of Athens, there is another city. A hidden city. Α city breathing for almost more than a century under the artificial light. A documentar",,,
Land Looters,Feature Films (70+ min),,75,Documentary,Fanny Paloma,,https://www.imdb.com/title/tt39163863/,https://www.themoviedb.org/movie/1603750,"Part travelogue and part sensitive investigation, the movie tells the universal story of people who refuse to be erased, reminding us that defending t",,,
Lua de Sangue 3: O Último Capítulo,Feature Films (70+ min),,86,"Horror, Mystery",Artur Garnetti,,,https://www.themoviedb.org/movie/1620311,"Helena and her friends embark on one final investigation, determined to uncover a secret capable of revealing the whole truth about the Reaper, a mask",,,
Maybe Tomorrow,Feature Films (70+ min),,98,Documentary,Alexis Daloumis,,,https://www.themoviedb.org/movie/1397062,"The story follows Kurdish forces' 18-month fight against ISIS from 2016-2017, highlighting women's role, international volunteers, key battles like Ma",,,
Meteoric 3,Feature Films (70+ min),,81,Documentary,Matt Garnier,,,https://www.themoviedb.org/movie/1622301,The final chapter of the Meteoric series follows a group of visual documentation specialists for the US military as they search for creative inspirati,,,
Misery Signals: The Final Performance,Feature Films (70+ min),,91,Music,,,,https://www.themoviedb.org/movie/1608195,"The Final Live performance from Misery Signals, recorded at Union Hall, Edmonton 10.19.24",,,
MyRoad Away-Ahead,Feature Films (70+ min),filmmaker_site,135,"Animation, Science Fiction",Roxy Radclyffe,https://roxyradclyffe.neocities.org/film/MyRoadAwayAhead,,https://www.themoviedb.org/movie/1628254,"While basking in the glory of their naturalistic digital home, a child mistakenly clips outside its boundaries, beginning a chain of events that ultim",,,
Nass VS Jimmy Negatron,Feature Films (70+ min),,105,"Comedy, Drama",Sailor Dreps,,,https://www.themoviedb.org/movie/1609537,The feature length culmination to a decade of lore shows the nefarious Jimmy Negatron psychologically and physically tormenting a fat douchebag in his,,,
NO: Mexican Animation Doesn’t Matter,Feature Films (70+ min),,83,Documentary,Cristian Uriel García Vargas,,,https://www.themoviedb.org/movie/1624692,"Mexican animation does not have an audience to grow, nor an economic industry to sustain itself, but that does not prevent the existence of auteur wor",,,
"O Thee, Aeon",Feature Films (70+ min),,83,Thriller,Brannon Kirk Huang,,,https://www.themoviedb.org/movie/1614338,"A person must arise, have a telephone call, and go for a walk. There are many pitfalls on this journey.  A depraved debunking of Slow Cinema.",,,
Over the Rainbow,Feature Films (70+ min),,119,"Horror, Thriller, Crime, Drama, Mystery",,,,https://www.themoviedb.org/movie/1530929,A small town is consumed by a missing person case.,,,
President: A Documentary about Sadyr Japarov,Feature Films (70+ min),,179,,Aibek Biibosun uulu,,,https://www.themoviedb.org/movie/1613814,"The four-part documentary film ""President"" chronicles Sadyr Zhaparov's journey from opposition figure and prisoner to the head of state, highlighting ",,,
Psych Siddhartha,Feature Films (70+ min),,120,"Comedy, Romance",Varun Reddy,,https://www.imdb.com/title/tt39100948/,https://www.themoviedb.org/movie/1594670,"Siddharth's life is a string of misfortunes, losing love, money, and dignity, making him the unwitting star of a slum-based comedy of errors. Hope onl",,,
Randam Mukham,Feature Films (70+ min),,105,Thriller,Krishnajith S Vijayan,,https://www.imdb.com/title/tt25052490/,https://www.themoviedb.org/movie/1617975,"A neglected wife flees with her young son and a seemingly kind driver, seeking a better life. But when she discovers the man's true predatory nature, ",,,
Retrospection,Feature Films (70+ min),filmmaker_site,84,"Action, Drama, Science Fiction, Mystery, Thriller",Alexander Rivera,https://www.stellarxstudios.com/retrospection,https://www.imdb.com/title/tt32085129/,https://www.themoviedb.org/movie/1621832,"Timothee and Hope reunite after years apart under mysterious circumstances. As the key to the future, they must race against time to prevent a radical",,,
Return to Silent Hill,Feature Films (70+ min),filmmaker_site,106,"Horror, Mystery",Christophe Gans,https://returntosilenthillmovie.com,https://www.imdb.com/title/tt22868010/,https://www.themoviedb.org/movie/680493,"When James receives a mysterious letter from his lost love Mary, he is drawn to Silent Hill—a once-familiar town now consumed by darkness. As he searc",,,
Safia/Safdar,Feature Films (70+ min),,106,"Drama, Romance",Baba Azmi,,https://www.imdb.com/title/tt39392710/,https://www.themoviedb.org/movie/1616993,"When Salman falls ill, his saloon is at stake as the local moneylender wants it. The only person standing in the way is Salman's daughter, Safia. Will",,,
