title,year,imdb_id,tmdb_id,rt_url,digital_date,has_providers
Die Kinderschwindlerin,2025,,,https://www.rottentomatoes.com/search?search=Die%20Kinderschwindlerin%202025,2025-06-19,True
Sharks Up Close with Bertie Gregory,2025,,,https://www.rottentomatoes.com/search?search=Sharks%20Up%20Close%20with%20Bertie%20Gregory%202025,2025-07-06,True
TNA Emergence 2025,2025,,,https://www.rottentomatoes.com/search?search=TNA%20Emergence%202025%202025,2025-08-15,True
Marc Maron: Panicked,2025,,,https://www.rottentomatoes.com/search?search=Marc%20Maron%3A%20Panicked%202025,2025-07-31,True
Reclaim the Flag,2025,,,https://www.rottentomatoes.com/search?search=Reclaim%20the%20Flag%202025,2025-07-17,True
Ein ganz großes Ding,2025,,,https://www.rottentomatoes.com/search?search=Ein%20ganz%20gro%C3%9Fes%20Ding%202025,2025-06-19,True
Donuts,2025,,,https://www.rottentomatoes.com/search?search=Donuts%202025,2025-07-17,True
ROH Supercard of Honor 2025,2025,,,https://www.rottentomatoes.com/search?search=ROH%20Supercard%20of%20Honor%202025%202025,2025-07-11,True
Miley Cyrus: Something Beautiful,2025,,,https://www.rottentomatoes.com/search?search=Miley%20Cyrus%3A%20Something%20Beautiful%202025,2025-07-16,True
Semi-Soeter,2025,,,https://www.rottentomatoes.com/search?search=Semi-Soeter%202025,2025-06-19,True
Fall for Me,2025,,,https://www.rottentomatoes.com/search?search=Fall%20for%20Me%202025,2025-08-20,True
Undercover. Inside the Bunker,2025,,,https://www.rottentomatoes.com/search?search=Undercover.%20Inside%20the%20Bunker%202025,2025-06-27,True
Martabat: Misi Berdarah,2025,,,https://www.rottentomatoes.com/search?search=Martabat%3A%20Misi%20Berdarah%202025,2025-08-08,True
I Became the Main Role of a BL Drama 2,2025,,,https://www.rottentomatoes.com/search?search=I%20Became%20the%20Main%20Role%20of%20a%20BL%20Drama%202%202025,2025-06-13,True
Hot Milk,2025,,,https://www.rottentomatoes.com/search?search=Hot%20Milk%202025,2025-08-22,True
AEW All In: Texas - Zero Hour,2025,,,https://www.rottentomatoes.com/search?search=AEW%20All%20In%3A%20Texas%20-%20Zero%20Hour%202025,2025-07-12,True
Luccas e Gi em: Amor de Mãe,2025,,,https://www.rottentomatoes.com/search?search=Luccas%20e%20Gi%20em%3A%20Amor%20de%20M%C3%A3e%202025,2025-07-11,True
Dancing with the Devil: The Making of Sinners,2025,,,https://www.rottentomatoes.com/search?search=Dancing%20with%20the%20Devil%3A%20The%20Making%20of%20Sinners%202025,2025-06-03,True
Renegade Immortal: Battle of Gods,2025,,,https://www.rottentomatoes.com/search?search=Renegade%20Immortal%3A%20Battle%20of%20Gods%202025,2025-05-30,True
Sendai Girls SENJO The New Era,2025,,,https://www.rottentomatoes.com/search?search=Sendai%20Girls%20SENJO%20The%20New%20Era%202025,2025-07-19,True
A Spartan Dream,2025,,,https://www.rottentomatoes.com/search?search=A%20Spartan%20Dream%202025,2025-08-15,True
Risqué,2025,,,https://www.rottentomatoes.com/search?search=Risqu%C3%A9%202025,2025-08-01,True
Bait,2025,,,https://www.rottentomatoes.com/search?search=Bait%202025,2025-07-22,True
Planet Single: Greek Adventure,2025,,,https://www.rottentomatoes.com/search?search=Planet%20Single%3A%20Greek%20Adventure%202025,2025-08-27,True
Auf der Walz – Drei Jahre und ein Tag,2025,,,https://www.rottentomatoes.com/search?search=Auf%20der%20Walz%20%E2%80%93%20Drei%20Jahre%20und%20ein%20Tag%202025,2025-08-13,True
Margarita: The Musical,2025,,,https://www.rottentomatoes.com/search?search=Margarita%3A%20The%20Musical%202025,2025-08-08,True
L: Langoy,2025,,,https://www.rottentomatoes.com/search?search=L%3A%20Langoy%202025,2025-08-08,True
Relentless Fury,2025,,,https://www.rottentomatoes.com/search?search=Relentless%20Fury%202025,2025-07-11,True
Miłość ma cztery łapy,2025,,,https://www.rottentomatoes.com/search?search=Mi%C5%82o%C5%9B%C4%87%20ma%20cztery%20%C5%82apy%202025,2025-06-06,True
Utshob,2025,,,https://www.rottentomatoes.com/search?search=Utshob%202025,2025-08-07,True
TKO,2025,,,https://www.rottentomatoes.com/search?search=TKO%202025,2025-06-20,True
When We Went MAD!,2025,,,https://www.rottentomatoes.com/search?search=When%20We%20Went%20MAD%21%202025,2025-06-24,True
Wake Up Dead Man: A Knives Out Mystery,2025,,,https://www.rottentomatoes.com/search?search=Wake%20Up%20Dead%20Man%3A%20A%20Knives%20Out%20Mystery%202025,2025-12-11,True
Aztec Batman: Clash of Empires,2025,,,https://www.rottentomatoes.com/search?search=Aztec%20Batman%3A%20Clash%20of%20Empires%202025,2025-09-18,True
The Lost Bus,2025,,,https://www.rottentomatoes.com/search?search=The%20Lost%20Bus%202025,2025-10-02,True
Zarna Garg: Practical People Win,2025,,,https://www.rottentomatoes.com/search?search=Zarna%20Garg%3A%20Practical%20People%20Win%202025,2025-07-18,True
Feste feiern,2025,,,https://www.rottentomatoes.com/search?search=Feste%20feiern%202025,2025-06-19,True
