title,year,tmdb_id,rt_url,digital_date
The Lost Bus,2025,,https://www.rottentomatoes.com/search?search=The%20Lost%20Bus%202025,2025-10-02
Zarna Garg: Practical People Win,2025,,https://www.rottentomatoes.com/search?search=Zarna%20Garg%3A%20Practical%20People%20Win%202025,2025-07-18
Feste feiern,2025,,https://www.rottentomatoes.com/search?search=Feste%20feiern%202025,2025-06-19
Yang Tersisa Hanya Cinta,2025,,https://www.rottentomatoes.com/search?search=Yang%20Tersisa%20Hanya%20Cinta%202025,2025-07-11
I'm Not Supposed to Be Here,2025,,https://www.rottentomatoes.com/search?search=I%27m%20Not%20Supposed%20to%20Be%20Here%202025,2025-08-12
Hidden in the Kunlun,2025,,https://www.rottentomatoes.com/search?search=Hidden%20in%20the%20Kunlun%202025,2025-07-16
Swiped,2025,,https://www.rottentomatoes.com/search?search=Swiped%202025,2025-09-18
Ordures,2025,,https://www.rottentomatoes.com/search?search=Ordures%202025,2025-06-16
Жизнь по вызову. Фильм,2025,,https://www.rottentomatoes.com/search?search=%D0%96%D0%B8%D0%B7%D0%BD%D1%8C%20%D0%BF%D0%BE%20%D0%B2%D1%8B%D0%B7%D0%BE%D0%B2%D1%83.%20%D0%A4%D0%B8%D0%BB%D1%8C%D0%BC%202025,2025-08-23
Birthrite,2025,,https://www.rottentomatoes.com/search?search=Birthrite%202025,2025-08-08
War on Drug,2025,,https://www.rottentomatoes.com/search?search=War%20on%20Drug%202025,2025-06-10
No Tears in Hell,2025,,https://www.rottentomatoes.com/search?search=No%20Tears%20in%20Hell%202025,2025-08-12
Jeff Bridges: A Reluctant Star,2025,,https://www.rottentomatoes.com/search?search=Jeff%20Bridges%3A%20A%20Reluctant%20Star%202025,2025-07-13
Icarus,2025,,https://www.rottentomatoes.com/search?search=Icarus%202025,2025-06-13
The Academy,2025,,https://www.rottentomatoes.com/search?search=The%20Academy%202025,2025-07-09
Assassination: 1932,2025,,https://www.rottentomatoes.com/search?search=Assassination%3A%201932%202025,2025-08-12
Simple Plan: The Kids in the Crowd,2025,,https://www.rottentomatoes.com/search?search=Simple%20Plan%3A%20The%20Kids%20in%20the%20Crowd%202025,2025-07-07
Off the Grid,2025,,https://www.rottentomatoes.com/search?search=Off%20the%20Grid%202025,2025-06-26
The Four Bad Boys and Me,2025,,https://www.rottentomatoes.com/search?search=The%20Four%20Bad%20Boys%20and%20Me%202025,2025-07-31
North South,2025,,https://www.rottentomatoes.com/search?search=North%20South%202025,2025-06-26
Kontrabida Academy,2025,,https://www.rottentomatoes.com/search?search=Kontrabida%20Academy%202025,2025-09-11
Stardom Nighter 2025 in Korakuen Jul.,2025,,https://www.rottentomatoes.com/search?search=Stardom%20Nighter%202025%20in%20Korakuen%20Jul.%202025,2025-07-24
TNA Slammiversary 2025,2025,,https://www.rottentomatoes.com/search?search=TNA%20Slammiversary%202025%202025,2025-07-20
Grounded in Love,2025,,https://www.rottentomatoes.com/search?search=Grounded%20in%20Love%202025,2025-08-07
Andere Eltern - Die 1. Klasse,2025,,https://www.rottentomatoes.com/search?search=Andere%20Eltern%20-%20Die%201.%20Klasse%202025,2025-07-07
Gold Rush Gang,2025,,https://www.rottentomatoes.com/search?search=Gold%20Rush%20Gang%202025,2025-08-20
Abandoned Man,2025,,https://www.rottentomatoes.com/search?search=Abandoned%20Man%202025,2025-08-22
One Hit Wonder,2025,,https://www.rottentomatoes.com/search?search=One%20Hit%20Wonder%202025,2025-08-21
The Serial Killer's Apprentice,2025,,https://www.rottentomatoes.com/search?search=The%20Serial%20Killer%27s%20Apprentice%202025,2025-08-17
Khaki Fever,2025,,https://www.rottentomatoes.com/search?search=Khaki%20Fever%202025,2025-09-05
The Truth About Jussie Smollett?,2025,,https://www.rottentomatoes.com/search?search=The%20Truth%20About%20Jussie%20Smollett%3F%202025,2025-08-21
Nächte vor Hochzeiten,2025,,https://www.rottentomatoes.com/search?search=N%C3%A4chte%20vor%20Hochzeiten%202025,2025-08-07
Strange Stories of Five Lives River,2025,,https://www.rottentomatoes.com/search?search=Strange%20Stories%20of%20Five%20Lives%20River%202025,2025-08-07
For My Country,2025,,https://www.rottentomatoes.com/search?search=For%20My%20Country%202025,2025-08-01
The Polo Bear Chronicles: Operation Black Tie,2025,,https://www.rottentomatoes.com/search?search=The%20Polo%20Bear%20Chronicles%3A%20Operation%20Black%20Tie%202025,2025-08-14
Day of a Lion,2025,,https://www.rottentomatoes.com/search?search=Day%20of%20a%20Lion%202025,2025-08-15
Sa Gabing Mainit,2025,,https://www.rottentomatoes.com/search?search=Sa%20Gabing%20Mainit%202025,2025-08-29
Salakaar,2025,,https://www.rottentomatoes.com/search?search=Salakaar%202025,2025-08-15
Good News,2025,,https://www.rottentomatoes.com/search?search=Good%20News%202025,2025-10-16
McWalter,2025,,https://www.rottentomatoes.com/search?search=McWalter%202025,2025-09-12
Cztery Pory Roku,2025,,https://www.rottentomatoes.com/search?search=Cztery%20Pory%20Roku%202025,2025-08-18
The death of the Conducător (a Christmas film),2025,,https://www.rottentomatoes.com/search?search=The%20death%20of%20the%20Conduc%C4%83tor%20%28a%20Christmas%20film%29%202025,2025-08-12
Life Is,2025,,https://www.rottentomatoes.com/search?search=Life%20Is%202025,2025-08-05
"Yours, C Tour Documentary",2025,,https://www.rottentomatoes.com/search?search=Yours%2C%20C%20Tour%20Documentary%202025,2025-08-04
Songs of Paradise,2025,,https://www.rottentomatoes.com/search?search=Songs%20of%20Paradise%202025,2025-08-29
只是一陣一陣,2025,,https://www.rottentomatoes.com/search?search=%E5%8F%AA%E6%98%AF%E4%B8%80%E9%99%A3%E4%B8%80%E9%99%A3%202025,2025-07-28
Somnium,2025,,https://www.rottentomatoes.com/search?search=Somnium%202025,2025-09-08
RevPro Summer Sizzler 2025,2025,,https://www.rottentomatoes.com/search?search=RevPro%20Summer%20Sizzler%202025%202025,2025-07-25
